task_id,indicator,name,source,frequency,group_id,batch,status,current_first_as_of,current_first_data_period,current_strict_periods,classification,target_data_period,target_as_of,evidence_status,source_route,parser_work,scope_check,first_action
PIT34-20,CN_INFRA_INVESTMENT_YTD_YOY,基础设施投资累计同比,NBS,M,investment,B04,PLANNED,2022-04-30,2022-03,34,later_or_scope_review,现不含农户口径争取2011-02；基建/制造业最早可比期另核,FAI争取2011-03；两分项由口径证据决定,2011_BREAK_VERIFIED_COMPONENT_START_PENDING,2011年统计局投资专项稿及统计制度；综合稿分行业附表,制造业、基建表格YTD列；基建是否排除电热气水；旧城镇口径独立series,2005旧城镇投资不能接入现代FAI；三项分别核定，不以一项有值代表全部可用,定位2011年1—2月投资稿并核三项口径；如基建分项尚未公开，向后寻找首次同口径披露
PIT34-21,CN_MANUFACTURING_INVESTMENT_YTD_YOY,制造业投资累计同比,NBS,M,investment,B04,PLANNED,2022-04-30,2022-03,34,later_or_scope_review,现不含农户口径争取2011-02；基建/制造业最早可比期另核,FAI争取2011-03；两分项由口径证据决定,2011_BREAK_VERIFIED_COMPONENT_START_PENDING,2011年统计局投资专项稿及统计制度；综合稿分行业附表,制造业、基建表格YTD列；基建是否排除电热气水；旧城镇口径独立series,2005旧城镇投资不能接入现代FAI；三项分别核定，不以一项有值代表全部可用,定位2011年1—2月投资稿并核三项口径；如基建分项尚未公开，向后寻找首次同口径披露
PIT34-24,CN_PMI_NONMANUFACTURING,非制造业商务活动指数,NBS,M,nonmanufacturing_pmi,B04,PLANNED,2021-09-30,2021-09,59,later_or_scope_review,争取2007年调查建立后的首个公开月份,2007年或最早核验的公开月末,SURVEY_START_VERIFIED_PUBLICATION_PENDING,统计局非制造业采购经理调查早期稿,非制造业商务活动与服务业分项、建筑业分项分别识别,调查从2007年建立不代表当年每月均已对外公开；先用2018样本，继续向前搜索,执行2007—2008年初非制造业窄搜索；无稿则逐年定位2008—2017首期
PIT34-29,CN_BANK_FX_SETTLEMENT_USD,银行结汇,SAFE,M,bank_fx,B05,PLANNED,2024-08-31,2024-07,24,later_or_scope_review,从2005查旧档；以含银行自身的同口径最早公开期为准,待核；2010代客稿不足以确定现字段起点,SCOPE_GATE_REQUIRED,SAFE历史银行结售汇月报，代客与自身统计定义及表格,银行总额/代客/自身分别解析；同月多值配对；金额舍入及差额恒等式,2010稿明确只含代客，不能直接写当前银行总额；需要总额原值，或同一时点完整代客+自身且另保留推导链,先核当前字段对应的总额定义，再查2010附近总额首报及2005—2009档案；旧代客只能另列序列
PIT34-30,CN_BANK_FX_SALES_USD,银行售汇,SAFE,M,bank_fx,B05,PLANNED,2024-08-31,2024-07,24,later_or_scope_review,从2005查旧档；以含银行自身的同口径最早公开期为准,待核；2010代客稿不足以确定现字段起点,SCOPE_GATE_REQUIRED,SAFE历史银行结售汇月报，代客与自身统计定义及表格,银行总额/代客/自身分别解析；同月多值配对；金额舍入及差额恒等式,2010稿明确只含代客，不能直接写当前银行总额；需要总额原值，或同一时点完整代客+自身且另保留推导链,先核当前字段对应的总额定义，再查2010附近总额首报及2005—2009档案；旧代客只能另列序列
PIT34-31,CN_BANK_FX_NET_SETTLEMENT_USD,银行结售汇差额,SAFE,M,bank_fx,B05,PLANNED,2024-08-31,2024-07,24,later_or_scope_review,从2005查旧档；以含银行自身的同口径最早公开期为准,待核；2010代客稿不足以确定现字段起点,SCOPE_GATE_REQUIRED,SAFE历史银行结售汇月报，代客与自身统计定义及表格,银行总额/代客/自身分别解析；同月多值配对；金额舍入及差额恒等式,2010稿明确只含代客，不能直接写当前银行总额；需要总额原值，或同一时点完整代客+自身且另保留推导链,先核当前字段对应的总额定义，再查2010附近总额首报及2005—2009档案；旧代客只能另列序列
PIT34-32,CN_CROSS_BORDER_RECEIPTS_USD,涉外收入,SAFE,M,cross_border,B05,PLANNED,2024-08-31,2024-07,24,later_or_scope_review,2010-01样本已找到；2005—2009查有无同口径独立披露,2010-06-30（2010-06-08稿同时列1—3月，日期级按次日可用）,OFFICIAL_MULTI_MONTH_SAMPLE_FOUND_SCOPE_CHECK_PENDING,SAFE2010-06-08一季度逐月涉外收付款稿,分别为后的有序月度数列；不能只抓第一数当3月；亿美元转bn_usd,核非银行部门、跨境/涉外、本外币覆盖的历史变更；收入/付款差额同版本同口径,核2010首稿三个月及定义；只接通过范围核对的涉外三项，不连带接银行代客三项
PIT34-33,CN_CROSS_BORDER_PAYMENTS_USD,对外付款,SAFE,M,cross_border,B05,PLANNED,2024-08-31,2024-07,24,later_or_scope_review,2010-01样本已找到；2005—2009查有无同口径独立披露,2010-06-30（2010-06-08稿同时列1—3月，日期级按次日可用）,OFFICIAL_MULTI_MONTH_SAMPLE_FOUND_SCOPE_CHECK_PENDING,SAFE2010-06-08一季度逐月涉外收付款稿,分别为后的有序月度数列；不能只抓第一数当3月；亿美元转bn_usd,核非银行部门、跨境/涉外、本外币覆盖的历史变更；收入/付款差额同版本同口径,核2010首稿三个月及定义；只接通过范围核对的涉外三项，不连带接银行代客三项
PIT34-34,CN_CROSS_BORDER_NET_RECEIPTS_USD,涉外收付款差额,SAFE,M,cross_border,B05,PLANNED,2024-08-31,2024-07,24,later_or_scope_review,2010-01样本已找到；2005—2009查有无同口径独立披露,2010-06-30（2010-06-08稿同时列1—3月，日期级按次日可用）,OFFICIAL_MULTI_MONTH_SAMPLE_FOUND_SCOPE_CHECK_PENDING,SAFE2010-06-08一季度逐月涉外收付款稿,分别为后的有序月度数列；不能只抓第一数当3月；亿美元转bn_usd,核非银行部门、跨境/涉外、本外币覆盖的历史变更；收入/付款差额同版本同口径,核2010首稿三个月及定义；只接通过范围核对的涉外三项，不连带接银行代客三项
PIT34-26,CN_TSF_FLOW_YTD,社会融资规模增量累计,PBOC,M,tsf_flow,B06,PLANNED,2026-06-30,2026-05,2,later_or_scope_review,争取2011-03年内累计；早期月报频率另核,争取2011-04实际发布月末,2011_QUARTER_REPORT_CANDIDATE_FOUND,人民银行2011季度社融首期及政府全文转载，后续月报,旧称社会融资规模与后来的增量；季度累计、当月、年内累计及亿元单位,2002/2005历史回算表不代表当时已知；季度累计只落季度末数据月，不复制到中间月,核2011一季度报告累计总量，再确认月度发布开始时间并逐月回填
PIT34-27,CN_TSF_STOCK,社会融资规模存量,PBOC,M,tsf_stock,B06,PLANNED,2026-06-30,2026-05,2,later_or_scope_review,先核2014-12；已找到2015-06同稿存量及同比样本,争取2015-02；已找到2015-07转载样本，非首发结论,2015_SAMPLE_FOUND_EARLIEST_REPORT_PENDING,央行社融存量统计首期及政府全文转载,存量和同比必须是同统计范围；早期季末/年末不得伪造月度更新,2018/2019扩围和后溯历史按实际发布建立vintage；不拿2005年回溯值构造2005可用点,追查2015-02发布的2014年末存量原报告；如暂不可得，核2015-06样本继续前查
PIT34-28,CN_TSF_STOCK_YOY,社会融资规模存量同比,PBOC,M,tsf_stock,B06,PLANNED,2026-06-30,2026-05,2,later_or_scope_review,先核2014-12；已找到2015-06同稿存量及同比样本,争取2015-02；已找到2015-07转载样本，非首发结论,2015_SAMPLE_FOUND_EARLIEST_REPORT_PENDING,央行社融存量统计首期及政府全文转载,存量和同比必须是同统计范围；早期季末/年末不得伪造月度更新,2018/2019扩围和后溯历史按实际发布建立vintage；不拿2005年回溯值构造2005可用点,追查2015-02发布的2014年末存量原报告；如暂不可得，核2015-06样本继续前查
